id,brand_name,generic_name,species,dose_mg_per_kg_min,dose_mg_per_kg_max,concentration_value,concentration_unit,concentration_ml,dosage_form,route,frequency,unit_description,notes
"324","Eucarbon (N/A)","Activated Charcoal","large_animal","0","0","100","mg/tab","1","tablet","PO","q24h","Tablets (N/A)","Category: Gastrointestinal Adsorbent / Antidote. Activated charcoal and natural sulfur for poison adsorption. Indications: Ingestion of plant alkaloids, rodenticides, organophosphates, and chemicals. Dosage: 1-4 g/kg PO slurry in water via stomach tube or syringe. Ref: Plumb's 9th Ed. p. 18."
"325","Carbosylane (Global Napi)","Activated Charcoal","large_animal","0","0","100","mg/tab","1","tablet","PO","q24h","Tablets (Global Napi)","Category: Gastrointestinal Adsorbent / Antidote. Activated charcoal and simethicone for toxin binding and antiflatulent action. Indications: Acute poisonings and intestinal fermentation. Dosage: 1-4 g/kg PO slurry in water. Ref: Plumb's 9th Ed. p. 18."
"326","Olive Oil (N/A)","Olive Oil","large_animal","0","0","100","mg/ml","1","oral solution","PO","q24h","Bottle (N/A)","Category: Physical Demulcent / Emollient. Coats mucous membranes to soothe irritation. Indications: Ingestion of corrosive/caustic chemicals (acids, alkalis). Dosage: Horses/Cattle: 500-1000 mL PO via stomach tube; Small animals: 10-50 mL PO. ⚠️ Contraindicated in fat-soluble toxicosis. Ref: Merck Vet Manual."
"327","Atropine sulphate 1% (El-Nasr)","Atropine sulphate","cattle","0.02","0.5","100","mg/ml","1","injectable","IV/IM/SC","q24h","100 ml vial (El-Nasr)","Category: Parasympathomimitic. COMPOSITION: Each 100 ml contains - Atropine Sulphate 1 gm USES: (1) Parasympatholytic & Antispasmodics. (2) In case of organophosphorus compounds poisoning. ROUTE OF ADMINISTRATION: By Subcutaneous, Intramuscular, Intravenous injection at intervals as required DOSAGE: » Parasympatholytic: - Cattle,... | Ref: Ref: Plumb's 9th Ed. p. 104."
"328","Atromed (Arabcomed)","Atropine sulphate","large_animal","0.02","0.5","100","mg/ml","1","injectable","IM/IV","q24h","100 ml vial (Arabcomed)","Category: Parasympathomimitic. Composition Each 1 ml contains: - Atropine Sulphate 600 μg (eq to Atropine base 249.84 μg) Properties - Atropine, the prototypical muscarinic blocking agent, is an alkaloid extract from the belladonna plants. - Atropine sulphate interacts with muscarinic receptors of effector cells and by occupying ... | Ref: Ref: Plumb's 9th Ed. p. 104."
"329","Disodium Edetate (N/A)","Disodium Edetate (EDTA)","large_animal","25","25","100","mg/ml","1","injectable","IV/IM","q24h","20 ml vial (N/A)","Category: Anti-Dote. Properties: Physiological antidote (Chelator) Indications: • Lead toxicity Dosage: • 25mg/Kg q8 for 2-5days S/C, I/V or I/M"
"330","Toxogonin (N/A)","Obidoxime Chloride","large_animal","2","4","100","mg/ml","1","injectable","IV/IM","q24h","5 x 1ml Amps (N/A)","Category: Anti-Dote. Properties: Physiological antidot (Enzyme activator) Indications: • OPCs toxicity | Ref: Ref: Merck Vet Manual."
"331","Dimercaprol (N/A)","Dimercaprol (BAL)","large_animal","2.5","5","100","mg/ml","1","injectable","IV/IM","q24h","2 x 2ml Amp (N/A)","Category: Anti-Dote. Properties: Physiological antidot (Chelator) Indications: • Heavy metal toxicity except lead | Ref: Ref: Plumb's 9th Ed. p. 363."
"332","Artamin 250 (Sandoz)","Penicillamine","large_animal","10","15","100","mg/tab","1","tablet","PO","q24h","Tablets (Sandoz)","Category: Chelating Agent / Heavy Metal Antidote. D-Penicillamine forms soluble complexes with heavy metals for urinary excretion. Indications: Chronic lead poisoning, copper storage hepatopathy, and cystine urolithiasis. Dosage: Dogs 10-15 mg/kg PO q12h on an empty stomach. Ref: Plumb's 9th Ed. p. 918."
"333","Potassium Perm. (N/A)","Potassium Permanganate","large_animal","0","0","100","mg/ml","1","oral solution","PO","q24h","Bottle (N/A)","Category: Chemical Antidote (Oxidizing Agent). 0.02% (1:5000) solution oxidizes poisons in the gastric lumen. Indications: Poisoning by alkaloids (strychnine, nicotine, morphine), phosphorus, and cyanide. Dosage: Administer 1-2 Liters of 1:5000 solution PO via stomach tube for gastric lavage. Ref: Merck Vet Manual."
"334","Hydrogen Peroxide (N/A)","Hydrogen Peroxide","large_animal","0","0","100","mg/ml","1","oral solution","PO","q24h","Bottle (N/A)","Category: Emetic (Gastric Irritant). 3% Hydrogen Peroxide directly stimulates gastric mucosal sensory receptors to induce rapid vomiting. Indications: Immediate induction of emesis in dogs within 1-2 hours of toxin ingestion. Dosage: Dogs: 1-2 mL/kg (max 45 mL) PO once. ⚠️ Avoid in cats. Ref: Plumb's 9th Ed. p. 574."
"335","Methylene Blue (N/A)","Methylene Blue","large_animal","1","2","100","mg/ml","1","injectable","IV","q24h","Ampoule (N/A)","Category: Anti-Dote. Properties: Chemical antidot (Reducing agent) Indications: • Met-Hb inducing agent as nitrate, nitrite and chlorate toxicity Route: I/V | Ref: Ref: Plumb's 9th Ed. p. 734."
"336","Soapy Water (N/A)","Soapy Water","large_animal","0","0","100","mg/ml","1","oral solution","PO","q24h","Bottle (N/A)","Category: Chemical Antidote (Neutralizing / Emetic). Mild alkaline soap solution that neutralizes ingested acids and acts as a mechanical emetic. Indications: Emergency ingestion of concentrated mineral acids. Dosage: 1-2 Liters PO via stomach tube for large animals. Ref: Merck Vet Manual."
"337","Vinegar (Acetic Acid) (N/A)","Acetic Acid","large_animal","0","0","100","mg/ml","1","oral solution","PO","q24h","Bottle (N/A)","Category: Chemical Antidote (Acidifying Agent). 5% Acetic acid lowers ruminal pH, converting toxic free ammonia into unabsorbable ammonium (NH4+) ions. Indications: Acute non-protein nitrogen (urea) and ammonia poisoning in cattle and sheep. Dosage: Cattle: 2-6 Liters PO via stomach tube; Sheep: 0.5-1 Liter PO. Ref: Plumb's 9th Ed. p. 13."
"338","Copper Sulfate (N/A)","Copper Sulfate","large_animal","0","0","100","mg/g","1","oral powder","PO","q24h","Powder (N/A)","Category: Chemical Antidote / Astringent. Forms insoluble copper phosphide precipitate with ingested phosphorus. Indications: Acute yellow phosphorus and zinc phosphide rodenticide ingestion. Dosage: Dissolve 2-4 g in 500 mL water and administer PO immediately; follow with gastric lavage. Ref: Merck Vet Manual."
"339","Tannic Acid (N/A)","Tannic Acid","large_animal","0","0","100","mg/ml","1","oral solution","PO","q24h","Bottle (N/A)","Category: Anti-Dote. Properties: Chemical antidot (precipitating agent) Indications: • Alkaloids and antimony toxicity Route: Oral (should be rapidly washed from GIT)"
"340","Factrel (Zoetis)","Gonadorelin","cattle","0","0","100","mg/ml","1","injectable","IV/IM","single dose","20 ml vial (Zoetis)","Category: GnRH Hormone. Synthetic decapeptide identical to endogenous Gonadotropin-Releasing Hormone. Causes surge release of LH and FSH. Indications: Follicular ovarian cysts, ovulation synchronization in timed AI (Ovsynch, Co-Synch), and improving first-service conception rate. Dosage: Cattle: 100-250 mcg (2-5 ml) IM/IV per animal fixed dose. Ref: Plumb's 9th Ed. p. 518. | DOSING: Per-animal fixed dose. Cattle: 100-250 mcg (or 10-20 mcg Buserelin) IM/IV. (NOT weight-based mg/kg). Ref: Plumb's 9th Ed."
"341","Acegon (Zoetis)","Gonadorelin","large_animal","0","0","100","mg/ml","1","injectable","IV/IM","single dose","20 ml Vial (Zoetis)","Category: GnRh hormone. Natural GnRh hormone Each ml of Acegon contains: - Gonadorelin 50 μg (as gonadorelin acetate) Properties: Natural GnRh Physiological function: Release of gonadotrophins (FSH and LH) from anterior pituitary gland (low frequency for FSH and high frequency for LH). Application: 1. Hasten the resumption... | DOSING: Per-animal fixed dose. Cattle: 100-250 mcg IM/IV. Horses: 50-100 mcg IM. (NOT weight-based mg/kg) | Ref: Ref: Plumb's 9th Ed. p. 518."
"342","Cystorelin (Ceva Co.)","Gonadorelin","large_animal","0","0","100","mg/ml","1","injectable","IV/IM","single dose","10 ml vial (Ceva Co.)","Category: GnRh hormone. Natural GnRh hormone COMPOSITION - Gonadorelin diacetate tetrahydrate 50 mcg - Excipient q.s.f. 1 ml PROPERTIES - Cystorelin® is a synthetic gonadorelin («Gonadotropin releasing Hormone» GnRH) physiologically and chemically identical to the gonadorelin released by the hypothalamus. It has no antigen... | DOSING: Per-animal fixed dose. Cattle: 100-250 mcg IM/IV. Horses: 50-100 mcg IM. (NOT weight-based mg/kg) | Ref: Ref: Plumb's 9th Ed. p. 518."
"343","Gonabreed (Parnell)","Gonadorelin","cattle","0","0","100","mg/ml","1","injectable","IV/IM","single dose","20 ml Vial (Parnell)","Category: GnRH Hormone. Synthetic decapeptide identical to endogenous Gonadotropin-Releasing Hormone. Causes surge release of LH and FSH. Indications: Follicular ovarian cysts, ovulation synchronization in timed AI (Ovsynch, Co-Synch), and improving first-service conception rate. Dosage: Cattle: 100-250 mcg (2-5 ml) IM/IV per animal fixed dose. Ref: Plumb's 9th Ed. p. 518. | DOSING: Per-animal fixed dose. Cattle: 100-250 mcg (or 10-20 mcg Buserelin) IM/IV. (NOT weight-based mg/kg). Ref: Plumb's 9th Ed."
"344","Gonavet Veyx","Gonadorelin","cattle","0","0","100","mg/ml","1","injectable","IV/IM","single dose","50 ml vial (Veyx)","Category: GnRH Hormone. Synthetic decapeptide identical to endogenous Gonadotropin-Releasing Hormone. Causes surge release of LH and FSH. Indications: Follicular ovarian cysts, ovulation synchronization in timed AI (Ovsynch, Co-Synch), and improving first-service conception rate. Dosage: Cattle: 100-250 mcg (2-5 ml) IM/IV per animal fixed dose. Ref: Plumb's 9th Ed. p. 518. | DOSING: Per-animal fixed dose. Cattle: 100-250 mcg (or 10-20 mcg Buserelin) IM/IV. (NOT weight-based mg/kg). Ref: Plumb's 9th Ed."
"345","Ovacyst (Bayer)","Gonadorelin","cattle","0","0","100","mg/ml","1","injectable","IV/IM","single dose","Vial (Bayer)","Category: GnRH Hormone. Synthetic decapeptide identical to endogenous Gonadotropin-Releasing Hormone. Causes surge release of LH and FSH. Indications: Follicular ovarian cysts, ovulation synchronization in timed AI (Ovsynch, Co-Synch), and improving first-service conception rate. Dosage: Cattle: 100-250 mcg (2-5 ml) IM/IV per animal fixed dose. Ref: Plumb's 9th Ed. p. 518. | DOSING: Per-animal fixed dose. Cattle: 100-250 mcg (or 10-20 mcg Buserelin) IM/IV. (NOT weight-based mg/kg). Ref: Plumb's 9th Ed."
"346","Fertagyl (MSD Co. (Intervet))","Gonadorelin","cattle","0","0","0.1","mg/ml","1","injectable","IV/IM","single dose","100 ml vial (MSD Co. (Intervet))","Category: GnRh hormone. Natural GnRh hormone Composition Fertagyl is a solution of 0.1 mg/ml Gonadorelin. Gonadorelin is a deca-peptid identical to the natural Gonadotrophin Releasing Hormone (GnRH). Target species: Cattle, rabbits Indication Cattle: cystic ovarian disease, improvement of fertility when given at Artificial... | DOSING: Per-animal fixed dose. Cattle: 100-250 mcg IM/IV. Horses: 50-100 mcg IM. (NOT weight-based mg/kg) | Ref: Ref: Plumb's 9th Ed. p. 518."
"347","Busol (Livisto (Invesa))","Buserelin","large_animal","0","0","100","mg/ml","1","injectable","IM/IV","single dose","5 x 10 ml (Livisto (Invesa))","Category: GnRh hormone. Synthetic GnRh hormone Composition Each ml contains: - Buserelin (as Buserelin acetate) 0.004 mg Target species Cattle, horse, rabbit. Indications ■ Cattle: - Early cycle induction post partum. - Treatment of follicular cysts. Improvement of conception rate in artificial insemination procedures, als... | DOSING: Per-animal fixed dose. Cattle: 100-250 mcg IM/IV. Horses: 50-100 mcg IM. (NOT weight-based mg/kg) | Ref: Ref: Plumb's 9th Ed. p. 156."
"348","Gynarich (Intaspharma)","Buserelin","large_animal","0","0","100","mg/ml","1","injectable","IV/IM","single dose","2.5 ml Ampoule (Intaspharma)","Category: GnRh hormone. Synthetic GnRh hormone Properties: Synthetic GnRh analogue contain some modification that reduce susceptibility to proteolytic enzymes and improved binding affinity to GnRh receptors Ten times potency than natural GnRh. Physiological Function: Release of gonadotrophins (FSH and LH) from anterior pit... | DOSING: Per-animal fixed dose. Cattle: 100-250 mcg IM/IV. Horses: 50-100 mcg IM. (NOT weight-based mg/kg) | Ref: Ref: Plumb's 9th Ed. p. 156."
"349","SucroMate Equine (Thorn bioscience)","Deslorelin","horse","0","0","1.8","mg/ml","1","injectable","IM/SC","single dose implant","10 ml vial (Thorn bioscience)","Category: GnRh hormone. Synthetic GnRh hormone DESCRIPTION: - SucroMate™ Equine (deslorelin acetate) is a sterile, synthetic gonadotropin-releasing hormone (GnRH) analog suspension. - SucroMate™ Equine is a sustained release formulation that forms an in situ gel upon intramuscular injection. - Each mL contains 1.8 mg deslo... | DOSING: Fixed dose implant. Horses: 2.1 mg implant SC. (NOT weight-based)"
"350","Ovuplant (Dechra)","Deslorelin","horse","0","0","100","mg/tab","1","tablet","PO","single dose implant","Tablets (Dechra)","Category: GnRh hormone. Synthetic GnRh hormone It comes as tablets to be injected sub-cutaneously (under the skin), subcutaneous implant characterized by longer and more potent mostly used in equine. Physiological function: Release of gonadotrophins (FSH and LH) from anterior pituitary gland (low frequency for FSH and high... | DOSING: Fixed dose implant. Horses: 2.1 mg implant SC. (NOT weight-based)"
"351","Follitropin-V (Vetoquinol)","Follitropin","horse","0","0","100","mg/ml","1","injectable","IM","per superovulation protocol","Vial (Vetoquinol)","Category: FSH hormone. Properties: Pituitary gland extract of FSH either from procaine or equine but expensive and time consuming Physiological function: Stimulates follicular growth and selection of dominant follicle Application: 1. Super ovulation during embryo transfer protocol 2. Treatment of ovarian subfunction Dosag... | DOSING: Per-animal fixed dose. Cattle: 200-400 mg total IM divided over 4 days. (NOT weight-based)"
"352","Folligon (MSD Co. (Intervet))","PMSG (eCG)","horse","0","0","100","mg/ml","1","injectable","IM","per protocol","Vial (MSD Co. (Intervet))","Category: Gonadotropin hormone. Properties: Mare’s serum extract during first trimester of pregnancy which has FSH-like effect with some LH activity. Physiological function: Stimulates follicular growth and selection of dominant. Application: 1. Super ovulation during embryo transfer protocol 2. Treatment of ovarian subfunction 3.... | DOSING: Per-animal fixed IU dose. Cattle: 400-600 IU IM. Mares: 1500-3300 IU IM. (NOT weight-based)"
"353","Gonaser (HIPRA Co.)","PMSG (eCG)","horse","0","0","100","mg/ml","1","injectable","IM","per protocol","10 x 5ml Vial (HIPRA Co.)","Category: Gonadotropin hormone. COMPOSITION: Freeze-dried serum gonadotrophin (PMSG). Properties: Mare’s serum extract during first trimester of pregnancy which has FSH-like effect with some LH activity. Serum gonadotrophin, in injectable freeze-dried tablet. Physiological function: Stimulates follicular growth and selection of do... | DOSING: Per-animal fixed IU dose. Cattle: 400-600 IU IM. Mares: 1500-3300 IU IM. (NOT weight-based)"
"354","Syncro-part (Ceva Co.)","PMSG (eCG)","horse","0","0","100","mg/ml","1","injectable","IM","per protocol","Vial (Ceva Co.)","Category: Gonadotropin hormone. Properties: Mare’s serum extract during first trimester of pregnancy which has FSH-like effect with some LH activity Physiological function: Stimulates follicular growth and selection of dominant Application: 1. Super ovulation during embryo transfer protocol 2. Treatment of ovarian subfunction 3. I... | DOSING: Per-animal fixed IU dose. Cattle: 400-600 IU IM. Mares: 1500-3300 IU IM. (NOT weight-based)"
"355","Lutropin-V (Vetoquinol)","Lutropin","large_animal","0","0","100","mg/ml","1","injectable","IM","q24h","20 ml vial (Vetoquinol)","Category: LH hormone. Properties: Pituitary gland extract of LH Physiological function: Follicular maturation and induction of ovulation and maintain CL function Application: • Induction of ovulation in mare and cows • Estrus synchronization • Treatment of follicular cyst • Improve conception rate in repeat breeder • Mal... | DOSING: Per-animal fixed dose. Cattle: 100-250 mcg (or 10-20 mcg Buserelin) IM/IV. (NOT weight-based mg/kg). Ref: Plumb's 9th Ed."
"356","Digest punch (N/A)","Digestive Enzymes + Rumen Probiotics","large_animal","0","0","100","mg/ml","1","oral solution","PO","q24h","100 ml bottle (N/A)","Category: Probiotic. Composition Each 1 liter contains: - Choline 3728 mg - Vitamin A 30 000 IU - Lactobacillus acidophillus 50 miliar CFU - Lactobacillus plantarum 10 miliar CFU - Aspergillus oryzae 20 miliar CFU - Saccharomyces cerevisiae 90 miliar CFU - Bacillus subtilis 90 miliar CFU - Bacillus licheniformi 50 milia... | DOSING: Volume-based dosing per label. Cattle/Horses 10-25 mL IM/SC/IV; Calves/Foals 5-10 mL. (Not standard mg/kg). Ref: Merck Vet Manual."
"357","Forloxin (N/A)","Tylosin + Fosfomycin + Ketoprofen","poultry","2","3","100","mg/ml","1","injectable","IV/IM","q24h max 3-5 days","100 ml vial (N/A)","Category: Antibiotic (Macrolide) + NSAIDs. Composition: Each ml contains: - Fosfomycin sodium 100 mg - Tylosin 50 mg - Ketoprofen 30 mg Indications: Forloxin is recommended as an aid in the treatment of bacterial infections of poultry and pigs, cattle susceptible to the action of fosfomycin and tylosin. Dosage: • Intramuscular injection for ... | Ref: Horses 2.2 mg/kg IV q24h. Cattle 3 mg/kg IV q24h. Plumb's Vet Drug Handbook."
"358","Epifasi (N/A)","hCG","large_animal","0","0","100","mg/ml","1","injectable","IV","q24h","Ampoule (N/A)","Category: Gonadotropin hormone. Properties: Pregnant women’s serum extract which mainly LH-like but with some FSH-like activity Physiological function: Follicular maturation and induction of ovulation and maintain CL function | DOSING: Per-animal fixed dose. Cattle: 100-250 mcg (or 10-20 mcg Buserelin) IM/IV. (NOT weight-based mg/kg). Ref: Plumb's 9th Ed."
"359","Vito Max (Vet line)","DL-Methionine + L-Carnitine + Choline + B-Vitamins","large_animal","0","0","2500","mg/ml","1","injectable","IM/IV","q24h","100 ml vial (Vet line)","Category: Supportive treatment. Composition Each 100 ml contains: - DL-Methionine 2500 mg - L-Carnitine 6130 mg - Choline Chloride 2500 mg - Vitamin B3 1200 mg - Sorbitol 1000 mg - Propylene glycol 2000 mg Indications - In case of sever or mild liver and insufficency, Acute disease and metabolic disorders, Reduced viability in new... | DOSING: Volume-based dosing per label. Cattle/Horses 10-25 mL IM/SC/IV; Calves/Foals 5-10 mL. (Not standard mg/kg). Ref: Merck Vet Manual."
"360","Bio-Phosphoplex (Novo Vet)","VITAMINs + MINERALs","large_animal","0","0","250","mg/ml","1","injectable","IM/IV","q24h","100 ml vial (Novo Vet)","Category: Supportive treatment. Composition: Each 100 ml contains: - Sodium dihydrogen orthophosphate-1-hydrate 20 gm - Vitamin B1 250 mg - Vitamin B6 100 mg - Vitamin B12 1.5 mg - Folic acid 100 mg - Nicotinic acid 300 mg - Cobalt chloride 4 mg - Sodium selenite 33 mg - Manganese sulfate 600 mg - Zinc sulfate 500 mg - Prescrvativ... | DOSING: Per-label dosing. Volume/animal varies by product. Not standard mg/kg."
"361","Lydaxx (Vetoquinol)","Tulathromycin","cattle","2.5","2.5","100","mg/ml","1","injectable","IM/IV","q24h","100 ml vial (Vetoquinol)","Category: Antibiotic (Macrolide). Lydaxx is a ready-to-use sterile parenteral preparation containing tulathromycin, a semi-synthetic macrolide antibiotic of the subclass triamilide. - Each mL of Lydaxx contains 100 mg of tulathromycin as the free base in a propylene glycol vehicle. INDICATIONS: • Beef and Non-lactating Dairy Cattle:..."
"362","Biohepatol (N/A)","Betaine + Sorbitol + Liver Stimulants","large_animal","0","0","200","mg/ml","1","injectable","IM/IV","q24h","100 ml vial (N/A)","Category: Supportive treatment. COMPOSITION: each 100 ml contains: - Sorbitol 12.5 gm - Methionin 200 mg - Vitamin B2 200 mg - Vitamin B6 2 gm - Vitamin B12 20 mg - Purified water up to 100 ml Effect method: - Vitamin B2 is phosphorilated in the form of coenzym riboflavin-5-phosphate and flavin adenin dinucleotide (FAD) that work ... | DOSING: Volume-based dosing per label. Cattle/Horses 10-25 mL IM/SC/IV; Calves/Foals 5-10 mL. (Not standard mg/kg). Ref: Merck Vet Manual."
"363","Folone (N/A)","Estradiol","large_animal","0","0","100","mg/ml","1","injectable","IM","per protocol","5 x 1ml Amps (N/A)","Category: Estrogen hormone. Properties: Natural form of estrogen Physiological function: 1. Development of female reproductive tract 2. Appearance of female sexual characters 3. Increase vascularity of genital system 4. Retention of water in cervix and vulva 5. Relaxes the cervical canal 6. Appearance of characteristics signs ... | DOSING: Per-animal fixed dose. Cattle: 1-5 mg IM. (NOT weight-based mg/kg)"
"364","Obitarie (N/A)","VITAMINs + MINERALs","large_animal","0","0","22140","mg/bolus","1","bolus","PO","q24h","Tablets (N/A)","Category: Supportive treatment. Composition per bolus (75 gm) - Zinc 22140 mg - Copper 10012 mg - Manganese 5022 mg - Selenium 250 mg - Iodine 1195 mg - Cobalt 230 mg - Vitamin A 15000 IU - Vitamin E 3375 IU Excipients: - Vegetable fat (palm oil) 13268 mg - Magnesium stearate 75000 mg Properties: • Obitarie is a bolus composed of ... | DOSING: Per-label dosing. Volume/animal varies by product. Not standard mg/kg."
"365","Lutone (Misr)","Progesterone","large_animal","0","0","100","mg/ml","1","injectable","IM","per protocol","3 x 1ml Amps (Misr)","Category: Progesterone hormone. Physiological function: • Inhibit the contractility of the uterus (flaccid) • Proliferation and bifurcation of endometrial gland • Act synergistically with estrogen to appear signs of estrus • Development of alveolar system of the udder • Cause cervical secretions to become scanty and visicid and fo... | DOSING: Per-animal fixed dose. Cattle: 500 mg IM (or implant/CIDR). Horses: 150-300 mg IM daily. (NOT weight-based)"
"366","Crestar (MSD Co. (Intervet))","Progesterone","large_animal","0","0","3","mg/ml","1","injectable","IM","per protocol","Vial (MSD Co. (Intervet))","Category: Progesterone hormone. Composition: Each implant contains: - Norgestomet 3mg Each 2 ml contains: - Norgestomet 3mg - Estradiol valerate 5 mg Indications: Estrus induction and synchronization method that allows: - Induce and synchronize estrus in females in ovarian rest (anoestrus). - Synchronize estrus in cyclical females... | DOSING: Per-animal fixed dose. Cattle: 500 mg IM (or implant/CIDR). Horses: 150-300 mg IM daily. (NOT weight-based)"
"367","MGA (Zoetis)","Progesterone","large_animal","0","0","100","mg/ml","1","injectable","IM","per protocol","N/A (Zoetis)","Category: Progesterone hormone. Physiological function: • Inhibit the contractility of the uterus (flaccid) • Proliferation and bifurcation of endometrial gland • Act synergistically with estrogen to appear signs of estrus • Development of alveolar system of the udder • Cause cervical secretions to become scanty and visicid and fo... | DOSING: Per-animal fixed dose. Cattle: 500 mg IM (or implant/CIDR). Horses: 150-300 mg IM daily. (NOT weight-based)"
"368","Alternogest (N/A)","Progesterone","large_animal","0.044","0.044","100","mg/ml","1","injectable","IV/IM/SC","q24h","50 ml vial (N/A)","Category: Progesterone hormone. Physiological function: • Inhibit the contractility of the uterus (flaccid) • Proliferation and bifurcation of endometrial gland • Act synergistically with estrogen to appear signs of estrus • Development of alveolar system of the udder • Cause cervical secretions to become scanty and visicid and fo... | DOSING: Per-animal fixed dose. Cattle: 100-250 mcg (or 10-20 mcg Buserelin) IM/IV. (NOT weight-based mg/kg). Ref: Plumb's 9th Ed."
"369","Lutalyse (Zoetis)","Dinoprost","large_animal","0","0","100","mg/ml","1","injectable","IM","single dose","30 ml vial (Zoetis)","Category: Prostaglandin F2α (Natural). Natural PGF2α tromethamine salt inducing luteolysis, smooth muscle contraction, and cervical dilation. Indications: Estrus synchronization, pyometra, abortion induction, and uterine evacuation. Dosage: Cattle: 25 mg (5 ml Lutalyse) IM per animal; Mares: 5-10 mg IM; Swine: 10 mg IM. ⚠️ WARNING: Induces abortion and bronchospasm; handle with extreme care. Ref: Plumb's 9th Ed. p. 367. | DOSING: Per-animal fixed dose. Cattle: 500 mcg Cloprostenol (or 25 mg Dinoprost) IM. ⚠️ Induces abortion! Pregnant women avoid handling. Ref: Plumb's 9th Ed."
"370","Enzaprost T (Ceva Co.)","Dinoprost","cattle","0","0","100","mg/ml","1","injectable","IM","single dose","50 ml vial (Ceva Co.)","Category: Prostaglandin hormone. Natural prostaglandin hormone PRESENTATION A clear colourless solution for injection. COMPOSITION Each ml Contains: - Dinoprost (as trometamol) 5 mg - Benzyl alcohol 16.5 mg USES ENZAPROST®T is indicated for its luteolytic effects in cattle and pigs, The indications for use are: » Cattle: 5 ml The l... | DOSING: Fixed per-animal dose. Cloprostenol: 500 mcg IM/cattle, 250 mcg IM/horse. Dinoprost: 25 mg IM/cattle. (NOT weight-based) | Ref: Ref: Plumb's 9th Ed. p. 367."
"371","Prostamate (Bimeda Co.)","Dinoprost","cattle","0","0","5","mg/ml","1","injectable","IM","single dose","90 ml vial (Bimeda Co.)","Category: Prostaglandin hormone. Natural prostaglandin hormone ProstaMate is a sterile solution that contains 5 mg/mL of dinoprost—a naturally occuring prostaglandin F2-alpha — and is indicated for use in cattle. Dosage & Indications ProstaMate Sterile Solution is indicated as a luteolytic agent. ProstaMate is effective only in tho... | DOSING: Fixed per-animal dose. Cloprostenol: 500 mcg IM/cattle, 250 mcg IM/horse. Dinoprost: 25 mg IM/cattle. (NOT weight-based) | Ref: Ref: Plumb's 9th Ed. p. 367."
"372","Prosolvin (Virbac)","Luprostiol","large_animal","0","0","100","mg/ml","1","injectable","IM","single dose","10 ml vial (Virbac)","Category: Prostaglandin hormone. Natural prostaglandin hormone Physiological function: 1. Leuteolysis of the luteal tissue 2. Stimulate mild uterine contraction Application: 1. Induction of estrus in animals with luteal tissue in ovary (CL or luteal cyst) 2. Induction of birth or abortion in CL dependent animals 3. Treatment of ute... | DOSING: Fixed per-animal dose. Cloprostenol: 500 mcg IM/cattle, 250 mcg IM/horse. Dinoprost: 25 mg IM/cattle. (NOT weight-based)"
"373","Estrumate (MSD Co. (Intervet))","Cloprostenol","cattle","0","0","20","mg/ml","1","injectable","IM","single dose","Vial (MSD Co. (Intervet))","Category: Prostaglandin hormone. Synthetic prostaglandin hormone COMPOSITION: Active substance per ml: - Cloprostenol sodium 263 µg (eq to 250 µg cloprostenol) Excipients: - Benzyl alcohol 20 mg INDICATIONS: Synthetic prostaglandin analogue for the control of estrus cycle and for therapeutic use. » CATTLE A) Controlled breeding (es... | DOSING: Fixed per-animal dose. Cloprostenol: 500 mcg IM/cattle, 250 mcg IM/horse. Dinoprost: 25 mg IM/cattle. (NOT weight-based) | Ref: Ref: Plumb's 9th Ed. p. 268."
"374","Estroplan (Parnell)","Cloprostenol","large_animal","0","0","0.00004","mg/ml","1","injectable","IM","single dose","Vial (Parnell)","Category: Prostaglandin F2α Analog. Synthetic PGF2α luteolytic agent causing regression of corpus luteum within 2-4 days. Indications: Estrus synchronization, luteal cysts, pyometra/endometritis, termination of mummified fetus, and induction of parturition. Dosage: Cattle: 500 mcg (2 ml Estrumate) IM per animal. ⚠️ CAUTION: Induces abortion! Pregnant women and asthmatics must avoid contact. Ref: Plumb's 9th Ed. p. 268. | DOSING: Per-animal fixed dose. Cattle: 500 mcg Cloprostenol (or 25 mg Dinoprost) IM. ⚠️ Induces abortion! Pregnant women avoid handling. Ref: Plumb's 9th Ed."
"375","Synchromate (Bremer Pharma)","Cloprostenol","large_animal","0","0","100","mg/ml","1","injectable","IM","single dose","20 ml vial (Bremer Pharma)","Category: Prostaglandin hormone. Synthetic prostaglandin hormone Composition Each ml contains - Chloprostenol 250 μg Indications In case of silent heat(anestrus), controlled breeding procedures like embryotransfer,persistant corpus lutum, synchronization, unwelcome pregnancy, luteal cyst, for the treatment of pyometra, chronic endo... | DOSING: Fixed per-animal dose. Cloprostenol: 500 mcg IM/cattle, 250 mcg IM/horse. Dinoprost: 25 mg IM/cattle. (NOT weight-based) | Ref: Ref: Plumb's 9th Ed. p. 268."
